oracion;tipo
El vidrio fue roto por los niños.;passive
Mi billetera fue robada.;passive
El alumno es felicitado por el profesor.;passive
La mejor monografía fue escrita por Juan.;passive
Los asaltantes fueron delatados por un informante anónimo.;passive
Los archivos han sido alterados por la computadora.;passive
El árbol fue plantado por el dueño anterior de la casa.;passive
Nuevos billetes serán emitidos por el Estado.;passive
Un posible fraude está siendo investigado por la policía.;passive
El edificio ha sido construido por una empresa local.;passive
Nuevos platos fueron anunciados para la primavera por el restaurante.;passive
Veinte pedidos ya fueron entregados.;passive
Este problema no puede ser solucionado por nadie.;passive
En otras épocas, las mujeres eran invitadas a bailar por los hombres.;passive
La verdad fue declarada por el acusado.;passive
La carta no ha sido firmada por nadie.;passive
Tarde o temprano, el tesoro va a ser encontrado.;passive
El libro fue publicado hace dos años.;passive
Una casa abandonada fue destruida por el fuego.;passive
La oficina fue decorada por un profesional.;passive
Mi computadora fue hackeada ayer por la tarde.;passive
Los jugadores fueron recibidos en el aeropuerto por una multitud.;passive
La directora de la escuela es temida por los alumnos.;passive
El examen de Matemática fue reprobado por el joven.;passive
La medida será instrumentada por el gobierno provincial a la brevedad.;passive
América fue descubierta en 1492 por Colón.;passive
Una torta de vainilla y chocolate fue preparada por mi mamá.;passive
Un baile de fin de año fue organizado por los chicos.;passive
Lo que estaba escrito en el pizarrón fue borrado por la maestra.;passive
El banco de la esquina de mi casa fue asaltado por un grupo de delincuentes.;passive
El auto de mi papá fue reparado rápidamente por el mecánico.;passive
Mi abuelo fue llevado al hospital por la ambulancia.;passive
Todo el frente de mi casa fue pintado por mi tío.;passive
El festival de Rock fue cerrado por los Rolling Stones.;passive
El auto fue estacionado en la cochera nueva por mi primo.;passive
La guitarra fue afinada por mi profesor de música.;passive
Los chicos fueron dejados en la puerta de la escuela por mi suegra.;passive
Las últimas elecciones en Estados Unidos fueron ganadas por Barack Obama.;passive
Todas las sábanas de la casa fueron planchadas por mi mamá.;passive
El torneo de tenis del barrio fue ganado por mi vecino.;passive
La luna fue pisada por el hombre el 20 de julio de 1969.;passive
El examen de ingreso a Medicina no fue aprobado por los chicos.;passive
El último gol del partido fue anotado por Lionel Messi.;passive
El libro fue escrito por Martín en menos de dos semanas.;passive
Los sándwiches que habían sobrado fueron comidos por los chicos.;passive
Los niños rompieron el vidrio.;active
Alguien robó mi billetera.;active
El profesor felicita al alumno.;active
Juan escribió la mejor monografía.;active
Un informante anónimo delató a los asaltantes.;active
La computadora ha alterado los archivos.;active
El dueño anterior de la casa plantó el árbol.;active
El Estado emitirá nuevos billetes.;active
La policía está investigando un posible fraude.;active
Una empresa local ha construido el edificio.;active
El restaurante anunció nuevos platos para la primavera.;active
Ya entregaron veinte pedidos.;active
Nadie puede solucionar este problema.;active
En otras épocas, los hombres invitaban a las mujeres a bailar.;active
El acusado declaró la verdad.;active
Nadie ha firmado la carta.;active
Tarde o temprano, alguien va a encontrar el tesoro.;active
Publicó el libro hace dos años.;active
El fuego destruyó una casa abandonada.;active
Un profesional decoró la oficina.;active
Alguien hackeó mi computadora ayer por la tarde.;active
Una multitud recibió a los jugadores en el aeropuerto.;active
Los alumnos temen a la directora de la escuela.;active
El joven reprobó el examen de Matemática.;active
El gobierno provincial instrumentará la medida a la brevedad.;active
Colón descubrió América en 1492.;active
Mi mamá preparó una torta de vainilla y chocolate.;active
Los chicos organizaron un baile para fin de año.;active
La maestra borró lo que estaba escrito en el pizarrón.;active
Un grupo de delincuentes asaltó el banco de la esquina de mi casa.;active
El mecánico reparó rápidamente el auto de mi papá.;active
La ambulancia llevó a mi abuelo al hospital.;active
Mi tío pintó todo el frente de mi casa.;active
Los Rolling Stones cerraron el festival de Rock.;active
Mi primo estacionó el auto en la cochera nueva.;active
Mi profesor de música afinó la guitarra.;active
Mi suegra dejó a los chicos en la puerta de la escuela.;active
Barack Obama ganó las últimas elecciones en Estados Unidos.;active
Mi mamá planchó todas las sábanas de la casa.;active
Mi vecino ganó el torneo de tenis del barrio.;active
El hombre pisó la luna el 20 de julio de 1969.;active
Los chicos no aprobaron el examen de ingreso a Medicina.;active
Lionel Messi anotó el último gol del partido.;active
Martín escribió el libro en menos de dos semanas.;active
Los chicos se comieron los sándwiches que habían sobrado.;active
